"","Author","Year","Study","Project.Name","Type.of.Study","Duration.of.follow.up","Country.of.collection","Date.of.collection","Sample.Size_included..N..","N_PT","N_HC","Age_Total_mean","Age_Total_sd","Age_PT_mean","Age_PT_sd","Age_HC_mean","Age_HC_sd","Onset_Age_mean","Onset_Age_sd","N_Total_Male","N_Total_Female","N_PT_Male","N_PT_.Female","N_HC_Male","N_HC_.Female","Psychosis.Measure","Psychosis.Construct","Dimensional..Diagnostic.Outcome","Trauma.Measure","Trauma.Construct","with.total.trauma.info..Y.N.","HC.Status.Measure","LogOR","LogOR_LCI","LogOR_UCI","only_subgroup_analysis","Design","CT.VS.NO.CT","adjusted.age..Y.N.","adjusted.gender..Y.N.","QA_scores","QA_Rating","compution_effect_size","Country_level","sum_gender","Age_level","Male_ratio","Q_or_Int","Adj","vi","Trauma"
"47","Dou et al.","2020","Research in childhood trauma,neurocognitive function and risk of schizophrenia",NA,"Case-control",NA,"China","2014-2018",287,"146",141,NA,NA,"22.06","7.21","23.33","3.33",NA,NA,126,161,70,76,56,85,"DSM-IV","SCZ","Diagnostic","CTQ","EA, SA, PA, PN, EN","N","No diagnosis of mental disorders",0.475890644596612,-0.23842556400929,1.19020685320251,"N","Case-control",NA,"N","N",8,"Good","OR",2,"287",1,"0.43902439",1,"Unadjusted",0.132821648760181,"PA"
"48","du Plessis et al.","2020","Childhood trauma and hippocampal subfield volumes in first-episode schizophrenia and healthy controls","EONKCS","Case-Control",NA,"South Africa","2007-2017",161,"79",82,"23",7,"25.3","7.32","25.2","6.93","25.3",7.2,105,56,58,21,47,35,"DSM-IV-TR, SCID-I","FEP","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","No axis I or II diagnosis aor first degree relative with a known psychotic disorder, no substance dependence/abuse",0.115998913862882,-0.508573467480179,0.740571295205943,"N","Case-control",NA,"N","N",8,"Good","OR",3,"161",1,"0.652173913",1,"Unadjusted",0.101543799337917,"PA"
"49","Prokopez et al.","2020","The history of multiple adverse childhood experiences in patients with schizophrenia is associated with more severe symptomatology and suicidal behavior with gender-specific characteristics",NA,"Cross-sectional",NA,"Argentina","2017-2018",150,"100",50,"44.55",12.8352,"45.82","12.68","42.02","13.14","23.5448 (pooled)",9.0266,69,81,50,50,19,31,"MINI","SCZ","Diagnostic","ACE-Q","CT, PA, EA, EN, SA, PN, PS","Y","no mental illness and no cognitive impariment",1.41706601978664,0.564085505603725,2.27004653396956,"N","Case-control",NA,"N","N",5,"Fair","OR",2,"150",1,"0.46",1,"Unadjusted",0.189393939393939,"PA"
"50","Chung et al.","2021","Network analysis of trauma in patients with early<U+2011>stage psychosis","KEPS","Case-control",NA,"South Korea",NA,702,"500",202,NA,NA,"28.89","8.54","35.48","11.98",NA,NA,290,412,193,307,97,105,"DSM-IV","FEP","Diagnostic","ETI","CT, PA, EA, SA, AB","Y","NR",0.536493370514568,0.168454097565677,0.90453264346346,"N","Case-control",NA,"N","N",8,"Good","OR",1,"702",1,"0.413105413",1,"Unadjusted",0.0352595029239766,"PA"
"51","Mansueto & Faravelli","2022","Stressful life events and psychosis: Gender differences","PSI坼FIELDS (Part of the Factors in Early Life, Diagnoses, and Symptoms project)","Case-control",NA,"Italy",NA,234,"78",156,NA,NA,"43.07","10.9","43.08","13.08",NA,NA,102,132,34,44,68,88,"DSM-IV","SPD","Diagnostic","CECA-Q, A semi坼structured interview","CT, PA, SA, PL, NG","Y","general population from the same area and no cogitive impairment",0.550882107966668,-0.13712892855217,1.23889314448551,"N","Case-control",NA,"N","N",8,"Good","OR",1,"234",1,"0.435897436",1,"Unadjusted",0.123219280084269,"PA"
"52","Mylona et al.","2022","Psychotic- like experiences (PLEs) and trauma in adolescents: the role of PLEs' persistence and distress in overall psychological burden",NA,"Case-control",NA,"Greece",NA,119,"71",48,NA,NA,"14.6","1.6","14.6","1.7",NA,NA,50,69,34,37,16,32,"CAPE","PLEs","Dimensional","institutionalized or no, trauma vs no trauma design","PA, SA","N","not in an institution, both groups no prior diagnosis of psychosis",1.26851132546351,0.406015196399978,2.13100745452704,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"119",2,"0.420168067",3,"Unadjusted",0.193643162393163,"PA"
"53","Vila-Badia et al.","2022","Prevalence and types of childhood trauma in first episode psychosis patients. Relation with clinical onset variables","PROFEP study","Case-control",NA,"Spain",NA,194,"100",94,NA,NA,"23.51","8.15","24.31","8.37",NA,NA,122,72,70,30,52,42,"Clin","FEP","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","without mental diseases and no family history of the psychotic spectrum",1.92768263529605,0.410375634097575,3.44498963649452,"N","Case-control",NA,"N","N",8,"Good","OR",1,"194",1,"0.628865979",1,"Unadjusted",0.599286895014031,"PA"
"54","Aas et al.","2023","Retrospectively assessed childhood trauma experiences are associated with illness severity in mental disorders adjusted for symptom state","TOP study","Case-control",NA,"Norway","2007 - 2016",908,"461",447,"30.3",8.51,"29.5","9.4","31.1","7.6","23.4",8.1,566,342,283,178,283,164,"DSM-IV","SCZ","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","No history of mental health disorder or 1st degree relative with mental health disorders",2.91804438605055,1.89971074056788,3.93637803153322,"N","Case-control",NA,"Y","Y",10,"Good","OR",1,"908",1,"0.623348018",1,"Unadjusted",0.269940497064251,"PA"
"55","Beasley et al.","2021","Childhood Maltreatment and Psychosis: A Comparative Validity Study of Maltreatment Indices","LONGSCAN","Cohort study","14 years","USA","1991-2012",629,"153",476,"Range : 8-14",NA,NA,NA,NA,NA,NA,NA,314,315,NA,NA,NA,NA,"DISC-IV","PSYS","Diagnostic","Self-Report, NS (AMPS), Register","CT, PA, EA, SA, NG","Y",NA,0.29988337798201,-0.0865332500886781,0.686300006052698,"N","Cohort study",NA,"N","Y",9,"Good","OR",1,"629",2,"0.499205087",3,"Unadjusted",0.038868651199896,"PA"
"56","Ross & Joshi","1992","Schneiderian symptoms and childhood trauma in the general population",NA,"Cross-sectional",NA,"USA",NA,502,NA,NA,"45.2",16.5,"37.3","16.2","47","16.5",NA,NA,184,318,9,26,142,255,"DDIS, interview","Schneiderian Symptoms","Dimensional","DDIS","CT, PA, SA","Y","Schneiderian Symptoms lower than 3",1.72788962080012,0.860770231495035,2.5950090101052,"N","Cross-sectional",NA,"N","N",6,"Fair","OR",1,"502",1,"0.366533865",1,"Unadjusted",0.195724707233659,"PA"
"57","Shevlin et al.","2007","Trauma and psychosis: an analysis of the National Comorbidity Survey","NCS","Cross-sectional",NA,"USA","1990 -1992",5877,"42",5747,"32.02",10.59,NA,NA,NA,NA,NA,NA,2827,3050,NA,NA,NA,NA,"CIDI","Psychosis","Diagnostic","CIDI","PA, NG","N","no psychosis",2.24325237135783,1.56112292149622,2.92538182121944,"Y","Cross-sectional",NA,"N","N",7,"Good","OR",1,"5877",1,"0.481027735",2,"Unadjusted",0.121121560383305,"PA"
"58","Freeman & Fowler","2009","Routes to psychotic symptoms: Trauma, anxiety and psychosis-like experiences",NA,"Cross-sectional",NA,"UK",NA,200,NA,NA,"37.5",13.3,NA,NA,NA,NA,NA,NA,100,100,NA,NA,NA,NA,"GPTS-B","PI","Dimensional","Life Stressor Checklist","PA, SA","N","lower PLE",0.852654059587729,-0.0587016211363914,1.76400974031185,"N","Cross-sectional",NA,"N","N",7,"Good","OR",1,"200",1,"0.5",1,"Unadjusted",0.216203971467129,"PA"
"59","Barker-Collo & Read","2011","The roles of gender and coping styles in the relationship between child abuse and the SCL-90-R subscales 'Psychoticism' and 'Paranoid Ideation'",NA,"Cross-sectional",NA,"New Zealand",NA,338,"79",259,"37.2",17.11,NA,NA,NA,NA,NA,NA,91,247,29,50,62,197,"SCL-90-R","Psychoticism","Dimensional","Self-DQ","CT, PA, SA, AB","Y","Low score on the SCL-90-R",1.16833111300001,0.539958974353231,1.79670325164679,"N","Cross-sectional",NA,"N","N",5,"Fair","OR",1,"338",1,"0.269230769",3,"Unadjusted",0.102783096789756,"PA"
"60","McGrath et al.","2017","The association between childhood adversities and subsequent first onset of psychotic experiences: a cross-national analysis of 23,998 respondents from 17 countries","the WHO World Mental Health (WMH) surveys","Cross-sectional",NA,"Multiple countries",NA,23998,"1661",22337,"18-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIDI-Psychosis module","Hallucination, delusion","Diagnostic","CIDI","CT, PA, SA, PL, PD, NG","Y",NA,1.22769865208787,1.10079973547763,1.35459756869812,"N","Cross-sectional",NA,"N","N",5,"Fair","OR",1,"#VALUE!",1,NA,NA,"Unadjusted",0.0041918302365822,"PA"
"61","Brown et al.","2021","Parenting behaviour and paranoia: a network analysis and results from the National Comorbidity Survey<U+2011>Adolescents (NCS<U+2011>A)","National Comorbidity Survey<U+2011>Adolescents","Cross-sectional",NA,"UK",NA,9101,NA,NA,"15.18",1.51,NA,NA,NA,NA,NA,NA,4962,5186,NA,NA,NA,NA,"single-item measure of paranoia","Paranoia","Dimensional","single-item measure of parental behavior","PA, EA","N","without paranoid ideation",0.509093074712314,0.380808157220341,0.637377992204287,"N","Cross-sectional",NA,"N","N",7,"Good","OR",1,"10148",2,"0.488963343",NA,"Unadjusted",0.00428389734900101,"PA"
"62","Brown et al.","2021","Parenting behaviour and paranoia: a network analysis and results from the National Comorbidity Survey<U+2011>Adolescents (NCS<U+2011>A) (Oxfordshire sample)","Oxfordshire Sample","Cross-sectional",NA,"UK",NA,1231,NA,NA,"41.54",15.95,NA,NA,NA,NA,NA,NA,243,781,NA,NA,NA,NA,"Green et al. Paranoid Thoughts Scale〞Part B (GPTS-B)","Paranoia","Dimensional","The Measure of Parenting Style (MOPS)","PA, EA","N","without paranoid ideation",0.773756918436869,0.426030873176269,1.12148296369747,"N","Cross-sectional",NA,"N","N",7,"Good","OR",1,"1024",1,"0.237304688",NA,"Unadjusted",0.0314747507685799,"PA"
"63","<U+015E>ahin et al.","2013","The history of childhood trauma among individuals with ultra high risk for psychosis is as common as among patients with first-episode schizophrenia","Psychotic Disorder Research Program (Istanbul Faculty of Medicine)","Case control",NA,"Turkey",NA,152,"83",69,NA,NA,"23.1",NA,"23.9",NA,NA,NA,89,63,60,23,29,40,"DSM-IV","FES","Diagnostic","CTQ","CT, PA, EA, EN,  SA, PN","Y","no psychiatric disorder diagnosis and no psychotic disorder diagnosed first-degree relatives",0.503023377054148,-0.0788971491653084,1.0849439032736,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",2,"152",1,"0.585526316",1,"Unadjusted",0.0881485575894234,"PA"
"64","Pietrek et al.","2013","Childhood adversities in relation to psychiatric disorders",NA,"Case-control",NA,"Germany",NA,118,"33",85,NA,NA,"33","9.2","38.3","14.1",NA,NA,54,64,22,11,32,53,"ICD-10","SCZ","Diagnostic","ETI","PA, SA, EA, PN","N","No current or life-time mental disorders; use of psychoactive medication and neurologicaldisorder in the past",0.255650062508659,-0.474234150330387,0.985534275347704,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",1,"118",1,"0.457627119",1,"Unadjusted",0.138674240980756,"PA"
"65","Sayin et al.","2013","Effects of the Adverse Life Events and Disrupted in Schizophrenia-1 (DISC1) Gene Polymorphisms on Acute Symptoms of Schizophrenia",NA,"Case control",NA,"Turkey",NA,200,"100",100,NA,NA,"36.48","11.27","32.45","11.82",NA,NA,114,86,53,47,61,39,"DSM-IV","SCZ","Diagnostic","CTQ","CT, PA, EA, SA, PN, EN","Y","no current psychiatric disorder and no psychotic disorder diagnosed first-degree relatives",0.721881159961178,0.214168729519271,1.22959359040309,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",2,"200",1,"0.57",1,"Unadjusted",0.0671001436966963,"PA"
"66","Sheffield et al.","2013","Childhood sexual abuse increases risk of auditory hallucinationsin psychotic disorders",NA,"Case-control",NA,"USA",NA,195,"114",81,NA,NA,"37.3","12.59","34","11.81",NA,NA,99,96,58,56,41,40,"DSM-IV-TR, SCID","Psychotic disorder","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","No history of psychiatric illness or treatment with psychotropic medication",1.43161248298396,0.895813892305461,1.96741107366246,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"195",1,"0.507692308",1,"Unadjusted",0.0747293132478829,"PA"
"67","Zhao et al.","2013","The relationship between the childhood traumaㄛdream threat level and dysfunctional attitudes in schizophrenia patients",NA,"Case-control",NA,"China","2010-2011",134,"62",72,NA,NA,"30.73","7.86","29.01","8.97",NA,NA,64,70,30,32,34,38,"CCMD-3","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.32878292345148,0.692632921560732,1.96493292534223,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"134",1,"0.47761194",1,"Unadjusted",0.105343300943773,"PA"
"68","DeRosse et al.","2014","The relation between childhood maltreatment and psychosis in patientswith schizophrenia and non-psychiatric controls",NA,"Case-control",NA,"USA",NA,631,"184",447,NA,NA,"40.98","11.07","41.06","17.06",NA,NA,299,332,127,57,172,275,"DSM-IV","SCZ, SAD","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","No axis I affective or psychotic disorder diagnosis, no history of substance abuse or brain disorder",1.58226113516492,1.2588706508904,1.90565161943944,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"631",1,"0.47385103",1,"Unadjusted",0.0272233978861173,"PA"
"69","Liang et al.","2014","Correlation between childhood trauma experience and eye emotion recognition in schizophrenia",NA,"Case-control",NA,"China","2012-2014",120,"60",60,NA,NA,"32.6","12.3","31.4","11.3",NA,NA,70,50,34,26,36,24,"CCMD-3","SCZ","Diagnostic","Adapted CTQ-25","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.81795647360937,1.12934913579566,2.50656381142308,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"120",1,"0.583333333",1,"Unadjusted",0.123432961706291,"PA"
"70","Ma et al.","2014","The relationship between anhedonia and childhood trauma in schizophrenic patients",NA,"Case-control",NA,"China","2012-2013",469,"198",271,NA,NA,"31.5","9.61","31.82","10.14",NA,NA,230,239,101,97,129,142,"CCMD-3","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",0.927257155805613,0.589636884970009,1.26487742664122,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"469",1,"0.490405117",1,"Unadjusted",0.0296718677840239,"PA"
"71","Michail & Birchwood","2014","Social anxiety in first-episode psychosis: The role of childhood trauma and adult attachment",NA,"Case-control",NA,"UK",NA,104,"80",24,NA,NA,"24.1","4.657","24.2","5",NA,NA,64,40,53,27,11,13,"ICD-10","FEP","Diagnostic","CTQ","EA, EN, PA, PN, SA","N","No psychiatric disorders",0.24264993203714,-0.585399066125796,1.07069893020008,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",1,"104",1,"0.615384615",1,"Unadjusted",0.178484262640213,"PA"
"72","Yang et al.","2014","Correlation study among childhood traumaㄛdysfunctional attitude and alexithymia of schizophrenics patients and their first坼degree relatives.",NA,"Case-control",NA,"China","2013",100,"52",48,NA,NA,"33.81","8.66","32.75","10.07",NA,NA,52,48,28,24,24,24,"CCMD-3","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",2.58005637006149,1.78368574887066,3.37642699125233,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"100",1,"0.52",1,"Unadjusted",0.165089068694262,"PA"
"73","Zhang et al.","2014","Study about the relationship between childhood trauma experience and theory of mind capacity in patients with schizophreniaㄝ",NA,"Case-control",NA,"China","2012-2013",110,"56",54,NA,NA,"27.87","5.27","26.63","4.09",NA,NA,55,55,29,27,26,28,"ICD-10","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",0.763905011884364,0.078399016954578,1.44941100681415,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"110",1,"0.5",1,"Unadjusted",0.122323633143658,"PA"
"74","Cancel et al.","2015","Childhood neglect predicts disorganizationin schizophrenia through grey matterdecrease in dorsolateral prefrontal cortex",NA,"Case-control",NA,"France",NA,51,"21",30,"32.57",7.67,"32.1","8.3","32.9","7.2",NA,NA,35,16,15,6,20,10,"DSM-IV","SCZ","Diagnostic","CTQ","CT, EA, SA, PA, PN, EN","Y","No SCZ diagnosis",1.35921405347966,0.313898002320102,2.40453010463921,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"51",1,"0.68627451",1,"Unadjusted",0.284435039257551,"PA"
"75","Aydin et al.","2016","The developmental origins of metacognitive deficits in schizophrenia",NA,"Case-control",NA,"Turkey",NA,70,"35",35,NA,NA,"29.91","7.35","31.05","7.86",NA,NA,36,34,22,13,14,21,"SCID, DSM-IV","SCZ","Diagnostic","CTQ","CT, EA, SA, PA, PN, EN","Y","did not have a psychiatric diagnosis",1.24293568066283,0.368530963277938,2.11734039804772,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",2,"70",1,"0.514285714",1,"Unadjusted",0.19902738697026,"PA"
"76","Chen et al.","2016","Study on relationship between childhood trauma experience and empathy in patients with schizophrenia",NA,"Case-control",NA,"China","2014-2015",194,"98",96,NA,NA,"29.34","9.56","27.84","7.47",NA,NA,86,108,45,53,41,55,"ICD-10","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",0.577560045012173,0.06383333779122,1.09128675223313,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"194",1,"0.443298969",1,"Unadjusted",0.0686992736651611,"PA"
"77","Wickham & Bentall","2016","Are Specific Early-Life Adversities Associated With Specific Symptoms of Psychosis?: A Patient Study Considering Just World Beliefs as a Mediator",NA,"Case-control",NA,"UK",NA,144,"72",72,NA,NA,"43.46","11.17","39.94","12.07",NA,NA,77,67,46,26,31,41,"Diagnozed","PS, SIP, SAD, SCZ, UNP","Diagnostic","CTQ","EA, PA, SA, EN, PN, BUL","N","no lifetime diagnosis of schizophrenia spectrum disorder, some controls with history of mental health disorder",0.971071500695781,0.368042656007875,1.57410034538369,"N","Case-control",NA,"Y","Y",7,"Good","Mean_SD",1,"144",1,"0.534722222",1,"Unadjusted",0.09465946155915,"PA"
"78","Li et al.","2017","A related study of cognitiv eimpairment and childhood trauma in children and adolescents with first-episode schizophreniaㄝ",NA,"Case-control",NA,"China","2014-2016",60,"37",23,NA,NA,"15.35","1.53","15.22","1.83",NA,NA,27,33,18,19,9,14,"ICD-10","FEP","Diagnostic","CTQ-SF-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",0.0982368496874659,-0.845892364242676,1.04236606361761,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",2,"60",2,"0.45",1,"Unadjusted",0.232033520563397,"PA"
"79","Shovestul et al.","2017","Pilot Study Examining the Relationship of Childhood Trauma, Perceived Stress, and Medication Use to Serum Kynurenic Acid and Kynurenine Levels in Schizophrenia",NA,"Case-control",NA,"USA","2017",20,"10",10,"38.15",13.55,"40.9","14.7","35.4","12.3",NA,NA,10,10,5,5,5,5,"DSM-IV-TR","SCZ, SAD","Diagnostic","CTQ","PA, EA, EN, SA, PN","N","no psychiatric history",0.784538668746257,-0.823809612287224,2.39288694977974,"N","Case-control",NA,"N","N",7,"Fair","Mean_SD",1,"20",1,"0.5",1,"Unadjusted",0.673361149808244,"PA"
"80","Haarmans et al.","2018","Gender role strain, core schemas, and psychotic experiences in ethnically diverse women: A role for sex坼 and gender坼based analysis in psychosis research?",NA,"Case-control",NA,"Canada",NA,91,"43",48,NA,NA,"42.14","13.38","33.9","12.83",NA,NA,0,91,0,43,0,48,"DSM坼IV","PEs","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","no current or past hallucinations or psychotic disorder diagnosis",1.41225058265869,0.638097707032876,2.1864034582845,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"91",1,"0",1,"Unadjusted",0.156006006570104,"PA"
"81","Lee et al.","2018","Childhood Adversity and Schizophrenia: The Protective Role of Resilience in Mental and Physical Health, and Metabolic Markers",NA,"Case-control",NA,"USA","2012-2017",215,"114",101,NA,NA,"48.3","10.1","49.4","11.3",NA,NA,111,104,64,50,47,54,"SCID, DSM-IV-TR","SCZ, SAD","Diagnostic","CTQ","CT, EA, EN, PA, PN, SA","Y","No history of axis 1 disorders or other psychiatric comorbidities",0.83871224865731,0.346493272390754,1.33093122492387,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",1,"215",1,"0.51627907",1,"Unadjusted",0.0630673470941526,"PA"
